text	Museo	Estrellas	Fecha de la visita	Fecha de la opinión	Enlace
Está abierto y es genial. Digo que está abierto porque aparece como cerrado en la ficha de TripAdvisor y es mentira. Está abierto, abre hasta las 21:30 y tiene una exposición permanente de artistas plásticos andaluces que es fantástica. La entrada es gratuita. De las temporales me encantó la exposición de Drácula x Drácula con distintas obras de distintos artistas inspirada en el polo helado de ese nombre.	CAC	5	Dec-19	Dec-19	https://www.tripadvisor.es/ShowUserReviews-g187438-d581638-r731125827-Cac_Malaga_Centro_de_Arte_Contemporaneo_de_Malaga-Malaga_Costa_del_Sol_Province_o.html?m=19905
Arte contemporaneo en el centro de la ciudad. Está dedicado a una rama del arte muy concreta. Entrada gratuita. Las exposiciones itinerantes muy interesantes. El espacio totalmente diáfano. Bien iluminado. En su día fue el mercado de abastos.	CAC	5	Oct-18	Jul-19	https://www.tripadvisor.es/ShowUserReviews-g187438-d581638-r689836555-Cac_Malaga_Centro_de_Arte_Contemporaneo_de_Malaga-Malaga_Costa_del_Sol_Province_o.html?m=19905
Un museo diferente. Tiene exposiciones muy vanguardistas. Las salas son muy amplias y no es muy grande con lo cual no te cansas. Se puede disfrutar a tu aire, no suele estar muy concurrido. El restaurante está genial. Ahora mismo están cambiando y hay algunos problemas con el ayuntamiento que espero se solucionen pronto.	CAC	5	May-19	May-19	https://www.tripadvisor.es/ShowUserReviews-g187438-d581638-r672298905-Cac_Malaga_Centro_de_Arte_Contemporaneo_de_Malaga-Malaga_Costa_del_Sol_Province_o.html?m=19905
Personal lamentable. Ya habíamos leído que según cuando vayas la exposición te puede gustar más o menos. A nosotros no nos impactó la verdad. Tampoco ayuda que no haya ni un folleto con el título o el objetivo de lo que vas a ver dentro. Todo eso queda en segundo lugar por lo maleducados que son desde la entrada. Te responden de malas maneras a todo. Y dentro de la sala nos estuvieron llamando la atención todo el rato. La tercera vez que lo hicieron, les pedí amablemente que me explicaran a qué distancia debíamos ponernos para ver las fotografías expuestas y la respuesta fue que un metro mínimo... 😱 Les comenté que era el primer museo que imponía tantísima distancia de seguridad y que si era así que lo dijesen a la entrada y la respuesta: dígaselo usted a ellos si quiere... A partir de ahí de mal en peor, se dedicaron a seguirnos por las salas para ver si cumplíamos el metro de separación. En fin, para no volver...	CAC	1	Apr-19	Apr-19	https://www.tripadvisor.es/ShowUserReviews-g187438-d581638-r664527605-Cac_Malaga_Centro_de_Arte_Contemporaneo_de_Malaga-Malaga_Costa_del_Sol_Province_o.html?m=19905
Me gustó hasta el restaurante de al lado. Depende de las exposiciones, pero el sitio está bien, alejado del centro ruidoso y con buena luz y temperatura para las obras.	CAC	5	Dec-18	Mar-19	https://www.tripadvisor.es/ShowUserReviews-g187438-d581638-r658117655-Cac_Malaga_Centro_de_Arte_Contemporaneo_de_Malaga-Malaga_Costa_del_Sol_Province_o.html?m=19905
EL MEJOR MUSEO DE MÁLAGA. No tan conocido como el Museo Picasso, aunque para mi el mejor sitio de arte en Málaga. Las exposiciones que se hacen en este centro de arte nada tienen que envidiar a las que puedan hacerse en Londres, París o Nueva York.	CAC	5	Nov-18	Mar-19	https://www.tripadvisor.es/ShowUserReviews-g187438-d581638-r656049904-Cac_Malaga_Centro_de_Arte_Contemporaneo_de_Malaga-Malaga_Costa_del_Sol_Province_o.html?m=19905
De los museos más interesantes de la ciudad. De los museos más interesantes de la ciudad. Siempre suele haber exposiciones temporales muy buenas. La cafetería tiene una terraza al río ideal para echar un café o una cerveza, muy ambientada por la tarde. Cuando estuve, había una exposición muy buena de un fotógrafo, Dioniso González, experto en arquitectura.	CAC	4	Feb-19	Feb-19	https://www.tripadvisor.es/ShowUserReviews-g187438-d581638-r652800679-Cac_Malaga_Centro_de_Arte_Contemporaneo_de_Malaga-Malaga_Costa_del_Sol_Province_o.html?m=19905
En el Soho de Málaga. Este CAC se encuentra situado al lado del río. Es una visita interesante siempre y cuando te guste el arte contemporáneo (a veces no es fácil entenderlo). Al ser gratuito, te duele menos que te tomen el pelo si no estás por la labor de querer entenderlo.	CAC	4	Jan-19	Feb-19	https://www.tripadvisor.es/ShowUserReviews-g187438-d581638-r649539017-Cac_Malaga_Centro_de_Arte_Contemporaneo_de_Malaga-Malaga_Costa_del_Sol_Province_o.html?m=19905
Ni todo el monte es orégano... ni todo lo que se presenta como arte merece valorarse positivamente. Estuvimos viendo una exposición de fotos de arquitectura contemporánea original y vanguardista. Nada que objetar. Pero, es mi opinión, no veo que pueda venderse como arte cuando se trata de unos carteles con los nombres de jugadores de fútbol, etcétera. No sé si forma parte de la exposición permanente, pero vamos, he visto trabajos de niños y monos que son más artísticos. Aunque no ser políticamente correctos es correr el riesgo de... En fin.	CAC	3	Jan-19	Jan-19	https://www.tripadvisor.es/ShowUserReviews-g187438-d581638-r649283854-Cac_Malaga_Centro_de_Arte_Contemporaneo_de_Malaga-Malaga_Costa_del_Sol_Province_o.html?m=19905
Museo gratuito. No sabía que era siempre gratis, ¡me ha chocado eso! Es bueno saberlo así que cada vez que haya algo nuevo pues siempre se puede ver gratis... La exposición que había me ha encantado... Y a quien le interese en el mismo museo se encuentra el restaurante Óleo, ¡donde se come divinamente!	CAC	5	Jan-19	Jan-19	https://www.tripadvisor.es/ShowUserReviews-g187438-d581638-r647005343-Cac_Malaga_Centro_de_Arte_Contemporaneo_de_Malaga-Malaga_Costa_del_Sol_Province_o.html?m=19905
